8G,260512,121447,1215,014,,AU483,Q,260512,01400,,0133890939AU483 1215,0,
8G,260512,121502,1215,029,,AM167,Q,260512,02900,,0133973926AM167 1215,0,
8G,260512,121530,1215,019,,AU722,Q,260512,01900,,0133736186AU722 1215,0,
8G,260512,121550,1215,019,,AT652,Q,260512,01900,,0133832244AT652 1215,0,
8G,260512,121610,1215,014,,AU335,Q,260512,01400,,0133771869AU335 1215,0,
8G,260512,121625,1215,019,,AU557,Q,260512,01900,,0133836570AU557 1215,0,
8G,260512,124551,1245,019,,AU557,Q,260512,01900,,0133837476AU557 1245,0,
8G,260512,124611,1245,014,,AU225,Q,260512,01400,,0133832146AU225 1245,0,
8G,260512,124626,1245,019,,AU324,Q,260512,01900,,0133891581AU324 1245,0,
8G,260512,124646,1245,019,,AU580,Q,260512,01900,,0133926677AU580 1245,0,
8G,260512,124706,1245,019,,AU024,Q,260512,01900,,0133549886AU024 1245,0,
8G,260512,124726,1245,029,,AU663,Q,260512,02900,,0133518750AU663 1245,0,
8G,260512,124756,1245,029,,AU411,Q,260512,02900,,0134009161AU411 1245,0,
8G,260512,131423,1315,014,,AU484,Q,260512,01400,,0133890940AU484 1315,0,
8G,260512,131438,1315,029,,AM171,Q,260512,02900,,0133973928AM171 1315,0,
8G,260512,131508,1315,029,,AU765,Q,260512,02900,,0133867088AU765 1315,0,
8G,260512,131537,1315,029,,AU338,Q,260512,02900,,0133810000AU338 1315,0,
8G,260512,134531,1345,014,,AT011,Q,260512,01400,,0133863547AT011 1345,0,
8G,260512,134546,1345,014,,AU599,Q,260512,01400,,0133941495AU599 1345,0,
8G,260512,134601,1345,014,,AU335,Q,260512,01400,,0133771863AU335 1345,0,
8G,260512,134616,1345,029,,AU660,Q,260512,02900,,0133518742AU660 1345,0,
8G,260512,134646,1345,014,,AR803,Q,260512,01400,,0133830574AR803 1345,0,
8G,260512,134701,1345,019,,AU356,Q,260512,01900,,0133840033AU356 1345,0,
8G,260512,141347,1415,019,,AU722,Q,260512,01900,,0133736060AU722 1415,0,
8G,260512,141407,1415,029,,AM167,Q,260512,02900,,0133973927AM167 1415,0,
8G,260512,141437,1415,029,,AU411,Q,260512,02900,,0134009163AU411 1415,0,
8G,260512,144438,1445,014,,AT069,Q,260512,01400,,0133420984AT069 1445,0,
8G,260512,144453,1445,019,,AU024,Q,260512,01900,,0133549881AU024 1445,0,
8G,260512,144513,1445,014,,AU599,Q,260512,01400,,0133942843AU599 1445,0,
8G,260512,144528,1445,019,,AU580,Q,260512,01900,,0133926678AU580 1445,0,
8G,260512,151550,1515,015,,AU481,Q,260512,01500,,0133890941AU481 1515,0,
8G,260512,151605,1515,029,,AU765,Q,260512,02900,,0133867089AU765 1515,0,
8G,260512,151635,1515,019,,AU722,Q,260512,01900,,0133736061AU722 1515,0,
8G,260512,151655,1515,014,,AT011,Q,260512,01400,,0133863548AT011 1515,0,
8G,260512,154532,1545,029,,AM171,Q,260512,02900,,0133973929AM171 1545,0,
